bizyaev_name,bizyaev_name_norm,bizyaev_catalog_token,RAJ2000,DEJ2000,h,z0,z0_over_h,h_over_z0,B/T,Type,thickness_flag,sparc_match_name,sparc_match_reason,match_sep_deg,nearest_sparc_name,nearest_sparc_sep_deg
2MASXJ00004392+0705232,2MASXJ000043920705232,,0.18259,7.090147,7.61,1.31,0.1721419185282523,5.809160305343512,0.09,SB,intermediate,,unmatched,,,
PGC2038248,PGC2038248,PGC_2038248,0.186788,33.756809,3.59,0.88,0.245125348189415,4.079545454545454,0.11,SB,thick_like,,unmatched,,,
SDSSJ000045.59+140428.7,SDSSJ000045591404287,,0.189996,14.074663,3.7,0.82,0.2216216216216216,4.51219512195122,0.07,SC,thick_like,,unmatched,,,
PGC1454005,PGC1454005,PGC_1454005,0.199556,14.27753,4.13,1.79,0.4334140435835351,2.3072625698324023,0.22,SB,thick_like,,unmatched,,,
PGC1045602,PGC1045602,PGC_1045602,0.21228,-5.370842,4.11,1.0,0.24330900243309,4.11,0.08,SC,thick_like,,unmatched,,,
PGC1457443,PGC1457443,PGC_1457443,0.220469,14.413526,6.77,1.1,0.1624815361890694,6.154545454545453,0.17,SB,intermediate,,unmatched,,,
UGC12900,UGC12900,UGC_12900,0.233094,20.338327,18.51,2.81,0.1518098325229605,6.587188612099644,0.06,SB,intermediate,,unmatched,,,
PGC991444,PGC991444,PGC_991444,0.463719,-9.408434,4.18,1.29,0.3086124401913876,3.2403100775193794,0.07,SC,thick_like,,unmatched,,,
PGC1501610,PGC1501610,PGC_1501610,0.473763,16.137632,5.55,1.45,0.2612612612612612,3.827586206896552,0.06,SC,thick_like,,unmatched,,,
PGC91845,PGC91845,PGC_91845,0.577984,35.242317,7.51,1.33,0.1770972037283621,5.646616541353383,0.05,SD,intermediate,,unmatched,,,
NED,NED,,0.593305,-10.42879,6.19,0.65,0.1050080775444265,9.523076923076925,0.05,SD,intermediate,,unmatched,,,
PGC1964011,PGC1964011,PGC_1964011,0.598585,31.778606,3.79,1.58,0.41688654353562,2.3987341772151898,0.27,SA,thick_like,,unmatched,,,
PGC2024213,PGC2024213,PGC_2024213,0.680029,33.131416,4.52,1.76,0.3893805309734514,2.568181818181818,0.19,SB,thick_like,,unmatched,,,
NED,NED,,0.688804,31.461485,4.23,1.18,0.2789598108747044,3.584745762711865,0.07,SB,thick_like,,unmatched,,,
PGC1819666,PGC1819666,PGC_1819666,0.829738,27.850815,6.07,1.47,0.2421746293245469,4.129251700680272,0.14,SC,thick_like,,unmatched,,,
NED,NED,,0.854554,24.132711,4.53,1.39,0.3068432671081677,3.2589928057553963,0.07,SC,thick_like,,unmatched,,,
PGC1893913,PGC1893913,PGC_1893913,0.935497,30.192247,4.47,1.07,0.2393736017897092,4.177570093457944,0.11,SB,thick_like,,unmatched,,,
PGC90450,PGC90450,PGC_90450,1.08124,-6.193389,6.0,1.58,0.2633333333333333,3.79746835443038,0.09,SB,thick_like,,unmatched,,,
PGC1338462,PGC1338462,PGC_1338462,1.123737,8.07944,3.74,1.7,0.4545454545454545,2.2,0.1,SB,thick_like,,unmatched,,,
PGC1745323,PGC1745323,PGC_1745323,1.161462,25.675274,4.16,1.37,0.3293269230769231,3.036496350364964,0.11,SC,thick_like,,unmatched,,,
PGC90452,PGC90452,PGC_90452,1.25126,4.506516,8.01,1.12,0.1398252184769038,7.1517857142857135,0.09,SB,intermediate,,unmatched,,,
NED,NED,,1.35392,7.464624,4.29,1.29,0.3006993006993007,3.3255813953488373,0.09,SC,thick_like,,unmatched,,,
PGC984316,PGC984316,PGC_984316,1.376796,-9.950334,5.91,1.33,0.2250423011844331,4.443609022556391,0.05,SD,thick_like,,unmatched,,,
PGC1080508,PGC1080508,PGC_1080508,1.381093,-2.891589,4.77,0.78,0.1635220125786163,6.115384615384615,0.09,SC,intermediate,,unmatched,,,
PGC1352786,PGC1352786,PGC_1352786,1.385511,8.737666,6.05,1.75,0.2892561983471075,3.457142857142857,0.08,SC,thick_like,,unmatched,,,
PGC968997,PGC968997,PGC_968997,1.427206,-11.180237,6.96,1.42,0.2040229885057471,4.901408450704226,0.07,SC,thick_like,,unmatched,,,
PGC990749,PGC990749,PGC_990749,1.582847,-9.462467,4.22,1.81,0.4289099526066351,2.331491712707182,0.1,SC,thick_like,,unmatched,,,
PGC1451356,PGC1451356,PGC_1451356,1.622053,14.182354,7.33,1.57,0.2141882673942701,4.6687898089171975,0.06,SD,thick_like,,unmatched,,,
UGC00047,UGC00047,UGC_47,1.658795,17.284151,13.73,3.15,0.2294246176256373,4.358730158730159,0.03,IR,thick_like,,unmatched,,,
PGC1725914,PGC1725914,PGC_1725914,1.783559,25.115232,4.33,1.37,0.3163972286374134,3.1605839416058394,0.21,SB,thick_like,,unmatched,,,
PGC566,PGC566,PGC_566,1.814582,33.917542,8.1,2.35,0.2901234567901234,3.4468085106382977,0.07,SC,thick_like,,unmatched,,,
PGC212468,PGC212468,PGC_212468,1.851756,8.373794,4.32,2.04,0.4722222222222222,2.117647058823529,0.49,SA,thick_like,,unmatched,,,
PGC1716792,PGC1716792,PGC_1716792,1.918513,24.801214,3.87,1.91,0.4935400516795865,2.026178010471204,0.18,SC,thick_like,,unmatched,,,
NED,NED,,2.070027,8.225907,5.34,1.31,0.2453183520599251,4.076335877862595,0.05,SC,thick_like,,unmatched,,,
PGC90453,PGC90453,PGC_90453,2.100091,33.02813,9.36,2.16,0.2307692307692308,4.333333333333333,0.06,SC,thick_like,,unmatched,,,
SDSSJ000826.52+002208.9,SDSSJ000826520022089,,2.110474,0.369248,4.7,1.19,0.2531914893617021,3.949579831932773,0.06,SC,thick_like,,unmatched,,,
NGC00011,NGC00011,NGC_11,2.176961,37.447861,11.19,3.48,0.3109919571045576,3.21551724137931,0.19,SB,thick_like,,unmatched,,,
PGC90454,PGC90454,PGC_90454,2.190198,-4.632575,7.96,1.53,0.1922110552763819,5.202614379084968,0.06,SD,intermediate,,unmatched,,,
PGC90455,PGC90455,PGC_90455,2.202895,4.456114,4.84,1.86,0.3842975206611571,2.6021505376344085,0.07,SC,thick_like,,unmatched,,,
SDSSJ000903.08+153842.7,SDSSJ000903081538427,,2.26288,15.645201,4.88,0.85,0.1741803278688524,5.741176470588235,0.05,SD,intermediate,,unmatched,,,
UGC00083,UGC00083,UGC_83,2.331449,0.59924,5.5,1.71,0.3109090909090909,3.216374269005848,0.19,SB,thick_like,,unmatched,,,
SDSSJ000924.18+003216.2,SDSSJ000924180032162,,2.350708,0.537843,3.9,0.87,0.2230769230769231,4.482758620689655,0.08,SD,thick_like,,unmatched,,,
PGC90457,PGC90457,PGC_90457,2.351928,-1.751413,8.45,1.41,0.1668639053254438,5.99290780141844,0.09,SB,intermediate,,unmatched,,,
PGC90459,PGC90459,PGC_90459,2.474841,28.549753,7.98,1.78,0.2230576441102756,4.48314606741573,0.3,SB,thick_like,,unmatched,,,
UGC00095,UGC00095,UGC_95,2.609454,28.988247,14.16,3.2,0.2259887005649717,4.425,0.11,SB,thick_like,,unmatched,,,
2MASXJ00104055+1504181,2MASXJ001040551504181,,2.669025,15.07164,6.32,1.01,0.1598101265822784,6.257425742574258,0.08,SD,intermediate,,unmatched,,,
PGC90460,PGC90460,PGC_90460,2.694386,-0.892352,13.82,1.01,0.0730824891461649,13.683168316831685,0.05,SD,thin_like,,unmatched,,,
PGC90461,PGC90461,PGC_90461,2.781433,33.90324,5.74,1.58,0.2752613240418118,3.632911392405063,0.11,SB,thick_like,,unmatched,,,
PGC1184724,PGC1184724,PGC_1184724,3.016386,1.105347,3.56,1.09,0.3061797752808989,3.26605504587156,0.06,SD,thick_like,,unmatched,,,
PGC1168181,PGC1168181,PGC_1168181,3.198281,0.523035,5.2,1.26,0.2423076923076923,4.126984126984127,0.06,SC,thick_like,,unmatched,,,
NED,NED,,3.420708,5.977557,8.8,1.69,0.1920454545454545,5.207100591715977,0.06,SB,intermediate,,unmatched,,,
NED,NED,,3.458802,-9.982133,3.14,0.78,0.2484076433121019,4.0256410256410255,0.05,SD,thick_like,,unmatched,,,
PGC90466,PGC90466,PGC_90466,3.564188,1.928268,8.41,2.06,0.2449464922711058,4.08252427184466,0.18,SB,thick_like,,unmatched,,,
PGC90467,PGC90467,PGC_90467,3.608825,7.300052,5.79,1.02,0.1761658031088083,5.676470588235294,0.05,SD,intermediate,,unmatched,,,
PGC1157455,PGC1157455,PGC_1157455,3.610015,0.11439,4.7,0.66,0.1404255319148936,7.121212121212121,0.06,SD,intermediate,,unmatched,,,
NGC00052,NGC00052,NGC_52,3.666854,18.581877,15.68,6.99,0.4457908163265306,2.2432045779685263,0.14,SC,thick_like,,unmatched,,,
PGC999009,PGC999009,PGC_999009,3.812457,-8.801081,6.86,2.63,0.3833819241982507,2.608365019011407,0.06,SC,thick_like,,unmatched,,,
PGC90468,PGC90468,PGC_90468,3.980848,16.003706,8.97,2.0,0.2229654403567446,4.485,0.07,SD,thick_like,,unmatched,,,
SDSSJ001612.05+143659.7,SDSSJ001612051436597,,4.050224,14.616557,4.1,0.83,0.2024390243902439,4.9397590361445785,0.07,SD,thick_like,,unmatched,,,
PGC1307089,PGC1307089,PGC_1307089,4.156056,6.767066,5.49,1.41,0.2568306010928961,3.893617021276596,0.06,SD,thick_like,,unmatched,,,
PGC212496,PGC212496,PGC_212496,4.161357,7.114754,3.81,1.77,0.4645669291338583,2.152542372881356,0.35,SA,thick_like,,unmatched,,,
PGC1189342,PGC1189342,PGC_1189342,4.275275,1.257441,3.67,1.75,0.4768392370572207,2.097142857142857,0.12,SC,thick_like,,unmatched,,,
PGC1141,PGC1141,PGC_1141,4.364594,-9.57382,6.55,1.64,0.250381679389313,3.9939024390243913,0.13,SB,thick_like,,unmatched,,,
PGC90470,PGC90470,PGC_90470,4.773863,26.625856,10.04,2.1,0.2091633466135458,4.78095238095238,0.04,SD,thick_like,,unmatched,,,
2MASXJ00194467+1551308,2MASXJ001944671551308,,4.936191,15.858472,6.21,1.16,0.1867954911433172,5.353448275862069,0.1,SB,intermediate,,unmatched,,,
PGC1299296,PGC1299296,PGC_1299296,5.245854,6.364702,4.2,2.21,0.5261904761904762,1.900452488687783,0.19,SC,thick_like,,unmatched,,,
PGC1368,PGC1368,PGC_1368,5.362609,-4.231283,12.91,3.44,0.2664601084430674,3.7529069767441854,0.19,SB,thick_like,,unmatched,,,
PGC90472,PGC90472,PGC_90472,5.535238,10.379254,9.22,1.56,0.1691973969631236,5.910256410256411,0.04,SD,intermediate,,unmatched,,,
PGC894817,PGC894817,PGC_894817,5.544475,-16.699507,4.84,1.34,0.2768595041322314,3.6119402985074633,0.08,SC,thick_like,,unmatched,,,
2MASXJ00221442+0825197,2MASXJ002214420825197,,5.560495,8.422548,5.34,0.85,0.1591760299625468,6.282352941176471,0.05,SD,intermediate,,unmatched,,,
UGC00211,UGC00211,UGC_211,5.563128,20.608295,8.19,2.66,0.3247863247863248,3.078947368421052,0.06,SC,thick_like,,unmatched,,,
PGC1154760,PGC1154760,PGC_1154760,5.58274,0.009102,8.13,1.19,0.1463714637146371,6.831932773109244,0.1,SB,intermediate,,unmatched,,,
PGC90473,PGC90473,PGC_90473,5.617809,-10.698508,6.28,1.22,0.1942675159235668,5.147540983606557,0.06,SD,intermediate,,unmatched,,,
PGC1471258,PGC1471258,PGC_1471258,5.685671,14.949582,5.22,3.5,0.6704980842911877,1.491428571428571,0.17,SC,thick_like,,unmatched,,,
PGC997209,PGC997209,PGC_997209,5.8027,-8.945599,3.76,1.48,0.3936170212765957,2.5405405405405403,0.09,SC,thick_like,,unmatched,,,
NED,NED,,6.012434,16.487118,29.05,6.87,0.2364888123924268,4.228529839883552,0.06,IR,thick_like,,unmatched,,,
PGC90476,PGC90476,PGC_90476,6.305318,13.538459,12.61,1.33,0.1054718477398889,9.481203007518795,0.05,SB,intermediate,,unmatched,,,
PGC1609,PGC1609,PGC_1609,6.448764,-2.284876,29.15,4.73,0.1622641509433962,6.162790697674418,0.09,SD,intermediate,,unmatched,,,
PGC172049,PGC172049,PGC_172049,6.588714,0.154153,5.22,2.16,0.4137931034482759,2.4166666666666665,0.38,SA,thick_like,,unmatched,,,
PGC90478,PGC90478,PGC_90478,6.79393,-10.322334,13.46,1.96,0.1456166419019316,6.867346938775511,0.07,SB,intermediate,,unmatched,,,
PGC923806,PGC923806,PGC_923806,6.827743,-14.501973,4.55,1.69,0.3714285714285714,2.692307692307692,0.08,SC,thick_like,,unmatched,,,
NED,NED,,6.867521,23.756132,4.89,1.09,0.2229038854805726,4.486238532110091,0.07,SC,thick_like,,unmatched,,,
NED,NED,,7.068677,24.844599,8.82,0.77,0.0873015873015873,11.454545454545457,0.04,SD,thin_like,,unmatched,,,
PGC1751,PGC1751,PGC_1751,7.115848,-7.39056,9.12,2.84,0.3114035087719298,3.2112676056338025,0.09,SB,thick_like,,unmatched,,,
PGC91877,PGC91877,PGC_91877,7.262248,-20.705639,8.25,1.31,0.1587878787878787,6.297709923664122,0.04,SD,intermediate,,unmatched,,,
NED,NED,,7.346062,31.382654,10.56,1.88,0.178030303030303,5.617021276595746,0.03,IR,intermediate,,unmatched,,,
PGC90482,PGC90482,PGC_90482,7.48522,10.699792,9.98,2.44,0.2444889779559118,4.09016393442623,0.22,SB,thick_like,,unmatched,,,
PGC901474,PGC901474,PGC_901474,7.495394,-16.178576,5.75,1.24,0.2156521739130434,4.637096774193548,0.11,SC,thick_like,,unmatched,,,
NED,NED,,8.101919,-0.88519,4.11,0.38,0.0924574209245742,10.81578947368421,0.04,SD,thin_like,,unmatched,,,
SDSSJ003239.04-005552.3,SDSSJ003239040055523,,8.162688,-0.931249,5.35,0.92,0.1719626168224299,5.815217391304347,0.05,SD,intermediate,,unmatched,,,
PGC969956,PGC969956,PGC_969956,8.365676,-11.103443,13.69,1.06,0.0774287801314828,12.91509433962264,0.04,SD,thin_like,,unmatched,,,
PGC1320660,PGC1320660,PGC_1320660,8.445087,7.390704,5.26,2.69,0.5114068441064639,1.9553903345724903,0.13,SC,thick_like,,unmatched,,,
NED,NED,,8.451971,-9.53985,5.92,0.78,0.1317567567567567,7.589743589743589,0.04,SD,intermediate,,unmatched,,,
PGC90484,PGC90484,PGC_90484,8.866123,-10.777742,9.56,2.29,0.2395397489539749,4.17467248908297,0.06,SD,thick_like,,unmatched,,,
PGC143625,PGC143625,PGC_143625,8.915275,-22.679335,4.96,1.36,0.2741935483870968,3.647058823529412,0.18,SB,thick_like,,unmatched,,,
PGC869853,PGC869853,PGC_869853,8.943889,-18.305206,4.85,0.88,0.1814432989690722,5.511363636363636,0.05,SD,intermediate,,unmatched,,,
PGC143643,PGC143643,PGC_143643,9.001315,-9.194606,5.28,1.23,0.2329545454545454,4.2926829268292686,0.19,SB,thick_like,,unmatched,,,
PGC1147118,PGC1147118,PGC_1147118,9.126265,-0.287375,4.78,0.87,0.1820083682008368,5.494252873563219,0.08,SC,intermediate,,unmatched,,,
PGC91883,PGC91883,PGC_91883,9.141284,-20.40556,7.61,1.64,0.2155059132720105,4.640243902439025,0.07,SB,thick_like,,unmatched,,,
NED,NED,,9.263625,25.649082,7.56,1.5,0.1984126984126984,5.04,0.06,SD,intermediate,,unmatched,,,
UGC00371,UGC00371,UGC_371,9.338315,29.149338,15.86,3.13,0.1973518284993695,5.067092651757188,0.06,SD,intermediate,,unmatched,,,
PGC3127897,PGC3127897,PGC_3127897,9.348694,15.028772,5.24,1.65,0.3148854961832061,3.175757575757576,0.37,SA,thick_like,,unmatched,,,
SDSSJ003752.17+153615.2,SDSSJ003752171536152,,9.467381,15.604246,5.6,1.06,0.1892857142857143,5.283018867924528,0.09,SC,intermediate,,unmatched,,,
PGC1742958,PGC1742958,PGC_1742958,9.589609,25.61318,4.61,1.56,0.3383947939262473,2.9551282051282053,0.15,SC,thick_like,,unmatched,,,
PGC1303555,PGC1303555,PGC_1303555,9.688127,6.584071,5.33,1.49,0.2795497185741088,3.577181208053692,0.07,SC,thick_like,,unmatched,,,
PGC856862,PGC856862,PGC_856862,9.742514,-19.320461,6.09,1.99,0.3267651888341543,3.0603015075376883,0.08,SC,thick_like,,unmatched,,,
PGC73384,PGC73384,PGC_73384,9.813744,6.405738,5.47,1.69,0.3089579524680073,3.2366863905325443,0.31,SB,thick_like,,unmatched,,,
NED,NED,,9.852391,-8.834152,8.17,0.69,0.0844553243574051,11.840579710144928,0.02,IR,thin_like,,unmatched,,,
PGC1705804,PGC1705804,PGC_1705804,9.868913,24.370907,5.26,1.61,0.3060836501901141,3.267080745341614,0.11,SC,thick_like,,unmatched,,,
PGC73391,PGC73391,PGC_73391,9.869792,6.721838,4.26,1.6,0.3755868544600939,2.6625,0.15,SC,thick_like,,unmatched,,,
PGC836595,PGC836595,PGC_836595,9.899598,-20.815044,4.21,0.8,0.1900237529691211,5.262499999999999,0.08,SB,intermediate,,unmatched,,,
UGC00418,UGC00418,UGC_418,9.906785,8.96508,22.67,4.56,0.2011468901632112,4.971491228070176,0.27,SB,thick_like,,unmatched,,,
PGC1463891,PGC1463891,PGC_1463891,9.909661,14.664233,4.27,2.33,0.5456674473067916,1.832618025751073,0.34,SC,thick_like,,unmatched,,,
PGC172710,PGC172710,PGC_172710,9.951584,-9.142943,6.0,2.61,0.435,2.298850574712644,0.13,SC,thick_like,,unmatched,,,
PGC90487,PGC90487,PGC_90487,9.98185,28.1213,12.28,1.43,0.1164495114006514,8.587412587412587,0.06,SB,intermediate,,unmatched,,,
PGC73411,PGC73411,PGC_73411,10.056877,7.169527,3.58,2.16,0.6033519553072626,1.6574074074074074,0.26,SB,thick_like,,unmatched,,,
PGC90488,PGC90488,PGC_90488,10.156021,5.73093,8.72,1.59,0.1823394495412844,5.484276729559749,0.06,SD,intermediate,,unmatched,,,
PGC980105,PGC980105,PGC_980105,10.186053,-10.286705,5.43,1.07,0.1970534069981584,5.074766355140186,0.06,SD,intermediate,,unmatched,,,
PGC90490,PGC90490,PGC_90490,10.234062,-1.865228,9.59,2.07,0.2158498435870698,4.632850241545894,0.05,SD,thick_like,,unmatched,,,
UGC00433,UGC00433,UGC_433,10.265016,31.733191,18.15,4.25,0.234159779614325,4.270588235294118,0.11,IR,thick_like,,unmatched,,,
PGC90491,PGC90491,PGC_90491,10.292008,25.585461,6.06,2.06,0.3399339933993399,2.9417475728155336,0.08,SC,thick_like,,unmatched,,,
PGC90492,PGC90492,PGC_90492,10.29833,15.052696,6.25,2.23,0.3568,2.802690582959641,0.18,SC,thick_like,,unmatched,,,
PGC2468,PGC2468,PGC_2468,10.317429,15.2171,3.96,2.5,0.6313131313131313,1.584,0.14,SC,thick_like,,unmatched,,,
PGC90493,PGC90493,PGC_90493,10.376707,10.889951,10.23,1.59,0.1554252199413489,6.433962264150943,0.05,SD,intermediate,,unmatched,,,
PGC90495,PGC90495,PGC_90495,10.443166,-2.341023,6.48,2.05,0.316358024691358,3.160975609756098,0.07,SB,thick_like,,unmatched,,,
PGC90494,PGC90494,PGC_90494,10.476619,41.954082,7.78,1.77,0.2275064267352185,4.395480225988701,0.08,SD,thick_like,,unmatched,,,
PGC985821,PGC985821,PGC_985821,10.502644,-9.834388,7.87,1.89,0.2401524777636594,4.164021164021165,0.11,SB,thick_like,,unmatched,,,
PGC90496,PGC90496,PGC_90496,10.529958,-1.500061,7.06,2.17,0.3073654390934844,3.2534562211981566,0.06,IR,thick_like,,unmatched,,,
PGC3128317,PGC3128317,PGC_3128317,10.590298,15.722653,4.63,1.59,0.3434125269978402,2.9119496855345908,0.24,SB,thick_like,,unmatched,,,
PGC93263,PGC93263,PGC_93263,10.640643,-8.881494,4.31,1.91,0.4431554524361949,2.256544502617801,0.13,SC,thick_like,,unmatched,,,
PGC975875,PGC975875,PGC_975875,10.835071,-10.625837,5.03,1.93,0.3836978131212723,2.6062176165803117,0.07,SC,thick_like,,unmatched,,,
PGC970029,PGC970029,PGC_970029,10.839989,-11.096181,5.54,1.55,0.279783393501805,3.574193548387097,0.09,SC,thick_like,,unmatched,,,
PGC90498,PGC90498,PGC_90498,11.159943,-11.188782,8.35,1.81,0.2167664670658682,4.613259668508287,0.06,SB,thick_like,,unmatched,,,
PGC172838,PGC172838,PGC_172838,11.27655,-22.120138,3.82,1.71,0.4476439790575916,2.2339181286549707,0.29,SB,thick_like,,unmatched,,,
NED,NED,,11.291527,25.651768,6.33,1.09,0.1721958925750395,5.807339449541284,0.05,SD,intermediate,,unmatched,,,
UGC00474,UGC00474,UGC_474,11.307083,10.502778,8.82,2.55,0.2891156462585034,3.458823529411765,0.15,SB,thick_like,,unmatched,,,
PGC90500,PGC90500,PGC_90500,11.697161,39.601116,6.74,1.57,0.2329376854599406,4.292993630573249,0.06,IR,thick_like,,unmatched,,,
UGC00485,UGC00485,UGC_485,11.784159,30.341217,22.36,3.89,0.1739713774597495,5.748071979434447,0.04,SD,intermediate,,unmatched,,,
UGC00501,UGC00501,UGC_501,12.259528,28.218452,17.59,3.87,0.2200113700966458,4.5452196382428935,0.06,UN,thick_like,,unmatched,,,
UGC00507,UGC00507,UGC_507,12.398632,1.115403,21.85,4.01,0.1835240274599542,5.448877805486285,0.06,SD,intermediate,,unmatched,,,
AGC102276,AGC102276,,12.46777,25.944426,6.47,1.29,0.1993817619783617,5.015503875968992,0.04,SD,intermediate,,unmatched,,,
PGC90501,PGC90501,PGC_90501,12.61191,5.055819,6.3,1.66,0.2634920634920635,3.7951807228915664,0.06,SD,thick_like,,unmatched,,,
PGC1697598,PGC1697598,PGC_1697598,12.635285,23.993662,4.29,1.7,0.3962703962703962,2.523529411764706,0.31,SB,thick_like,,unmatched,,,
PGC90503,PGC90503,PGC_90503,12.652223,3.098993,3.86,1.4,0.3626943005181347,2.757142857142857,0.08,SD,thick_like,,unmatched,,,
PGC1747842,PGC1747842,PGC_1747842,12.707131,25.737906,4.43,1.64,0.3702031602708803,2.701219512195122,0.1,SC,thick_like,,unmatched,,,
PGC90504,PGC90504,PGC_90504,12.714975,0.851287,10.35,1.75,0.1690821256038647,5.914285714285714,0.05,SD,intermediate,,unmatched,,,
PGC996252,PGC996252,PGC_996252,12.827066,-9.020129,5.62,2.47,0.4395017793594306,2.2753036437246963,0.25,SB,thick_like,,unmatched,,,
PGC90506,PGC90506,PGC_90506,12.88912,-0.545294,6.14,1.35,0.2198697068403909,4.548148148148147,0.05,SD,thick_like,,unmatched,,,
PGC1125962,PGC1125962,PGC_1125962,12.95315,-1.133388,3.94,1.55,0.3934010152284264,2.541935483870968,0.17,SB,thick_like,,unmatched,,,
PGC1147497,PGC1147497,PGC_1147497,13.011279,-0.27247,5.85,1.64,0.2803418803418803,3.567073170731707,0.45,SA,thick_like,,unmatched,,,
PGC90508,PGC90508,PGC_90508,13.223612,31.634186,9.35,1.52,0.1625668449197861,6.151315789473684,0.05,SD,intermediate,,unmatched,,,
PGC1185888,PGC1185888,PGC_1185888,13.288822,1.144435,6.94,1.23,0.1772334293948126,5.642276422764228,0.06,SD,intermediate,,unmatched,,,
UGC00542,UGC00542,UGC_542,13.361045,29.270332,15.31,5.0,0.3265839320705421,3.0620000000000003,0.4,SB,thick_like,,unmatched,,,
PGC90510,PGC90510,PGC_90510,13.378144,28.277,6.77,1.71,0.2525849335302806,3.95906432748538,0.09,SB,thick_like,,unmatched,,,
NED,NED,,13.386376,2.924128,20.48,3.19,0.15576171875,6.4200626959247655,0.06,SD,intermediate,,unmatched,,,
PGC1705008,PGC1705008,PGC_1705008,13.435132,24.336132,4.84,1.25,0.2582644628099174,3.872,0.1,SC,thick_like,,unmatched,,,
PGC90511,PGC90511,PGC_90511,13.477202,-3.460148,15.56,2.01,0.1291773778920308,7.741293532338309,0.09,SB,intermediate,,unmatched,,,
PGC1320750,PGC1320750,PGC_1320750,13.506557,7.394457,6.84,3.18,0.4649122807017544,2.150943396226415,0.21,SB,thick_like,,unmatched,,,
PGC90512,PGC90512,PGC_90512,13.597616,29.048241,5.86,1.63,0.2781569965870307,3.595092024539878,0.2,SB,thick_like,,unmatched,,,
PGC73462,PGC73462,PGC_73462,13.77312,-1.233795,3.71,1.27,0.3423180592991914,2.921259842519685,0.34,SB,thick_like,,unmatched,,,
PGC3102143,PGC3102143,PGC_3102143,14.074458,-8.958753,5.16,2.26,0.4379844961240309,2.283185840707965,0.08,SC,thick_like,,unmatched,,,
PGC1151316,PGC1151316,PGC_1151316,14.081713,-0.125765,4.99,2.74,0.5490981963927856,1.8211678832116789,0.34,SB,thick_like,,unmatched,,,
NED,NED,,14.098935,-11.135113,4.74,0.6,0.1265822784810126,7.9,0.05,SD,intermediate,,unmatched,,,
PGC3360,PGC3360,PGC_3360,14.102165,-1.143432,6.86,1.25,0.1822157434402332,5.488,0.26,SD,intermediate,,unmatched,,,
PGC994646,PGC994646,PGC_994646,14.244656,-9.14568,5.09,1.91,0.3752455795677799,2.6649214659685865,0.09,SC,thick_like,,unmatched,,,
PGC985693,PGC985693,PGC_985693,14.349925,-9.846807,3.96,2.02,0.51010101010101,1.9603960396039604,0.12,SC,thick_like,,unmatched,,,
PGC1341372,PGC1341372,PGC_1341372,14.369369,8.195706,8.65,2.05,0.2369942196531791,4.219512195121951,0.19,SB,thick_like,,unmatched,,,
NGC00325,NGC00325,NGC_325,14.449542,-5.112174,11.39,2.94,0.2581211589113257,3.8741496598639458,0.12,SB,thick_like,,unmatched,,,
PGC994919,PGC994919,PGC_994919,14.544062,-9.122091,5.11,2.29,0.4481409001956947,2.2314410480349345,0.08,SC,thick_like,,unmatched,,,
PGC1478004,PGC1478004,PGC_1478004,14.55946,15.20026,5.2,1.2,0.2307692307692307,4.333333333333334,0.11,SB,thick_like,,unmatched,,,
UGC00604,UGC00604,UGC_604,14.647366,45.005219,14.71,1.56,0.1060503059143439,9.42948717948718,0.03,SD,intermediate,,unmatched,,,
SDSSJ005846.65+133904.8,SDSSJ005846651339048,,14.694393,13.651346,3.44,1.04,0.3023255813953489,3.3076923076923075,0.08,SB,thick_like,,unmatched,,,
PGC1148202,PGC1148202,PGC_1148202,14.912169,-0.245314,3.54,1.85,0.5225988700564972,1.9135135135135133,0.15,SC,thick_like,,unmatched,,,
